Type,SKU,Name,Published,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Weight (unit),Length (unit),Width (unit),Height (unit)
simple,2640789,Wenkbrauw trim-setje,1,"Professioneel wenkbrauw trim-setje voor permanente make-up","Hoogwaardig wenkbrauw trim-setje, essentieel voor elke permanente make-up behandeling. Perfect voor het voorbereiden en afwerken van wenkbrauwbehandelingen.",taxable,1,17,15,Opleidingsbenodigdheden,,,
simple,2644224,Combinal mini kit,1,"Compacte Combinal mini kit voor wenkbrauwbehandelingen","Complete mini kit van Combinal voor professionele wenkbrauwbehandelingen. Bevat alle essentiële producten in een handige reisformaat.",taxable,1,14,25.5,Overig,,,
simple,2713270,Nano Lash,1,"Nano Lash voor wimperbehandelingen","Geavanceerde Nano Lash technologie voor perfecte wimperbehandelingen. Zorgt voor natuurlijke en langdurige resultaten.",taxable,1,20,39.95,Overig,,,
simple,2713271,Nano Brow,1,"Nano Brow voor wenkbrauwbehandelingen","Innovatieve Nano Brow technologie voor precieze wenkbrauwbehandelingen. Creëert natuurlijk ogende, haarscharpe lijntjes.",taxable,1,10,42.95,Overig,,,
simple,3039325,Zonnestick La Roche,1,"La Roche zonnestick voor gevoelige huid","Beschermende zonnestick van La Roche-Posay, speciaal ontwikkeld voor gevoelige huid na permanente make-up behandelingen.",taxable,1,8,14.95,Overig,,,
simple,3569705,Lip & wenkbrauw folie 200 meter,1,"Professionele beschermfolie voor lip- en wenkbrauwbehandelingen","200 meter beschermfolie voor hygiënische en professionele lip- en wenkbrauwbehandelingen. Essentieel voor elke PMU-specialist.",taxable,1,1000,4.5,Opleidingsbenodigdheden,,,
simple,3569709,Meetlint/Ruler 50 stuks,1,"Professionele meetlinten voor symmetrische wenkbrauwen","Set van 50 wegwerp meetlinten voor het creëren van perfect symmetrische wenkbrauwen. Onmisbaar hulpmiddel voor elke PMU-behandeling.",taxable,1,1000,9.95,Opleidingsbenodigdheden,,,
simple,3569710,Magic 3D eyebrow pencil - zwart,1,"Magic 3D wenkbrauwpotlood in zwart","Professioneel 3D wenkbrauwpotlood in zwart voor het voorschetsen van wenkbrauwvormen. Perfecte voorbereiding op permanente make-up behandelingen.",taxable,1,996,9.95,Opleidingsbenodigdheden,,,
simple,3569711,Magic 3D eyebrow pencil - bruin,1,"Magic 3D wenkbrauwpotlood in bruin","Professioneel 3D wenkbrauwpotlood in bruin voor het voorschetsen van wenkbrauwvormen. Ideaal voor natuurlijke bruintinten.",taxable,1,995,9.95,Opleidingsbenodigdheden,,,
simple,3569712,Magic 3D eyebrow pencil - wit,1,"Magic 3D wenkbrauwpotlood in wit","Professioneel 3D wenkbrauwpotlood in wit voor correcties en highlights. Essentieel voor het perfectioneren van wenkbrauwvormen.",taxable,1,500,9.95,Opleidingsbenodigdheden,,,
simple,3569713,Latex oefenhuid - Met voorgetekende wenkbrauwen,1,"Latex oefenhuid met voorgetekende wenkbrauwvormen","Realistische latex oefenhuid met voorgetekende wenkbrauwvormen voor het oefenen van permanente make-up technieken. Perfect voor beginners.",taxable,1,1000,3.2,Opleidingsbenodigdheden,,,
simple,3569715,Latex oefenhuid - Zonder voorgetekende wenkbrauwen,1,"Blanco latex oefenhuid voor PMU-oefening","Blanco latex oefenhuid voor het vrij oefenen van permanente make-up technieken. Ideaal voor gevorderden die hun eigen ontwerpen willen maken.",taxable,1,1000,3,Opleidingsbenodigdheden,,,
simple,3569716,3 slope naalden- 20 stuks,1,"Professionele 3 slope naalden voor PMU","Set van 20 steriele 3 slope naalden voor professionele permanente make-up behandelingen. Zorgt voor precieze lijntjes en natuurlijke resultaten.",taxable,1,100,43.5,Opleidingsbenodigdheden,,,
simple,3569717,1 RL 0.30 naald- 20 stuks,1,"1 RL 0.30 naalden voor fijne lijntjes","Set van 20 steriele 1 RL 0.30 naalden voor ultrafijne lijntjes in permanente make-up. Perfect voor haarscharpe wenkbrauwstrokes.",taxable,1,100,30,Opleidingsbenodigdheden,,,
simple,3569719,3RL 0.30 naald- 20 stuks,1,"3RL 0.30 naalden voor gevorderde technieken","Set van 20 steriele 3RL 0.30 naalden voor gevorderde permanente make-up technieken. Ideaal voor complexe wenkbrauwbehandelingen.",taxable,1,100,32.5,Opleidingsbenodigdheden,,,
simple,3569720,3RS 0.30 naald- 20 stuks,1,"3RS 0.30 naalden voor shading technieken","Set van 20 steriele 3RS 0.30 naalden voor shading en vulling technieken in permanente make-up. Perfect voor zachte, natuurlijke overgangen.",taxable,1,100,32.5,Opleidingsbenodigdheden,,,
simple,3569721,Medisch instrumenten schaaltje- 1 stuk,1,"RVS instrumentenschaaltje voor hygiëne","Professioneel RVS instrumentenschaaltje voor het hygiënisch bewaren van PMU-instrumenten tijdens behandelingen. Voldoet aan alle medische normen.",taxable,1,200,7.5,Opleidingsbenodigdheden,,,
simple,3848956,Mast | Permanente Make-up Apparaat,1,"Professioneel Mast PMU-apparaat","Geavanceerd Mast permanente make-up apparaat voor professionele behandelingen. Biedt precisie en betrouwbaarheid voor alle PMU-technieken.",taxable,1,50,300,Opleidingsbenodigdheden,,,
simple,4031932,Magic 3D eyebrow pencil - rood,1,"Magic 3D wenkbrauwpotlood in rood","Professioneel 3D wenkbrauwpotlood in rood voor speciale effecten en correcties. Unieke kleur voor creatieve PMU-toepassingen.",taxable,1,1000,9.95,Opleidingsbenodigdheden,,,





